Qty,Comment,Device,Designator,Footprint,Description,,,,,
2,1LINE_SOCKET_2MM_3_90,1LINE_SOCKET_2MM_3_90,"RS485, RS485*",1LINE_SOCKET_2MM_3_90,,,,,,
1,1LINE_SOCKET_2MM_4_90,1LINE_SOCKET_2MM_4_90,HOME1,1LINE_SOCKET_2MM_4_90,,,,,,
1,1LINE_SOCKET_2MM_7,1LINE_SOCKET_2MM_7,DOOR,1LINE_SOCKET_2MM_7,,,,,,
1,219-06SMD_2.54_6,219-06SMD_2.54_6,S3,SMD-2.54-6,Surface Mount DIP Switch Series 219 SMT,,,,,
1,22-23-2041,22-23-2041,J2,22-23-2041,.100 (2.54mm) Center Header - 4 Pin",,,,,
1,22-23-2041,22-23-2041,HOME,22-23-2041,.100 (2.54mm) Center Header - 4 Pin",,,,,
1,22-27-2031-03,22-27-2031-03,5VOUT,Mar-10,CONNECTOR,,,,,
1,22-27-2041-04,22-27-2041-04,WS2813,Apr-10,CONNECTOR,,,,,
1,,430450414,DC,4304504-TH,4-pin Male Molex Connector,,,,,
1,10k,4R-NEXB38V,RN1,EXB38V,Array Chip Resistor,,,,,
1,1k,4R-NEXB38V,RN5,EXB38V,Array Chip Resistor,,,,,
2,4k7,4R-NEXB38V,"RN3, RN4",EXB38V,Array Chip Resistor,,,,,
1,ATXMEGA64A3-AU,ATXMEGA64A3-AU,U3,TQFP-64A-64,8/16-bit XMEGA A3 Microcontroller,,,,,
18,0.1u,C-EUC0603,"C1, C2, C8, C9, C13, C14, C15, C19, C28, C29, C30, C31, C32, C33, C34, C41, C43, C44",C0603,"CAPACITOR, European symbol",,,,,
4,10n,C-EUC0603,"C21, C22, C23, C24",C0603,"CAPACITOR, European symbol",,,,,
4,10u,C-EUC0603,"C10, C20, C25, C45",C0603,"CAPACITOR, European symbol",,,,,
1,1n,C-EUC0603,C3,C0603,"CAPACITOR, European symbol",,,,,
1,220p,C-EUC0603,C5,C0603,"CAPACITOR, European symbol",,,,,
1,50v/470n,C-EUC0603,C6,C0603,"CAPACITOR, European symbol",,,,,
3,NC/1n,C-EUC0603,"C16, C17, C18",C0603,"CAPACITOR, European symbol",,,,,
1,1u/50v,C-EUC0805,C11,C0805,"CAPACITOR, European symbol",,,,,
1,4.7u,C-EUC0805,C40,C0805,"CAPACITOR, European symbol",,,,,
1,4.7u/50v,C-EUC0805,C27,C0805,"CAPACITOR, European symbol",,,,,
1,10u/35v,C-EUC1206,C4,C1206,"CAPACITOR, European symbol",,,,,
1,47u/16v,C-EUC1206,C7,C1206,"CAPACITOR, European symbol",,,,,
2,CON_MOLEX_MINIFIT_21UR,CON_MOLEX_MINIFIT_21UR,"PWR, PWR1",CON_MOLEX_MINIFIT_2*1_UR,,,,,,
1,CON_MOLEX_MINIFIT_24-,CON_MOLEX_MINIFIT_24-,MOTOR,CON_MOLEX_MINIFIT_2*4,,,,,,
1,100u/50v,CPOL-EU140CLH-0810,C12,140CLH-0810,"POLARIZED CAPACITOR, European symbol",,,,,
1,nc/100u/50v,CPOL-EU140CLH-0810,C26,140CLH-0810,"POLARIZED CAPACITOR, European symbol",,,,,
1,ss54,DIODE-DO214BA,D1,DO214BA,DIODE,,,,,
1,DRV8871,DRV8871,U11,8HSOIC,,,,,,
1,FT234XD,FT234XD,U7,DFN12,USB TO BASIC UART IC,,,,,
1,PESD33,GSOT05C-GS08,TVS2,RCL_SOT23,,,,,,
2,,LEDSML0603,"DIAG, SYS",SML0603,LED,,,,,
1,white,LEDSML0603,+5V,SML0603,LED,,,,,
1,yellow,LEDSML0603,USBPWR,SML0603,LED,,,,,
2,SP3485EN-L/TR,MAX3485CSA+,"U4, U8",SOIC127P600X175-8N,"3.3V-Powered, 10Mbps and Slew-Rate-Limited True RS-485/RS-422 Transceivers",,,,,SOIC-8
2,MCP1702T-3302E/CB,MCP1702T-3302E/CB,"U2, U6",SOT95P255X145-3N,250 mA Low Quiescent Current LDO Regulator,,,,,SOT23-3
1,MP2560,MP2560,U1,SOIC-8E,,,,,,
1,MP6540,MP6540,U9,QFN-26,,,,,,
1,OPA374AIDBVR,OPA378AIDBVT,U12,SOT95P280X145-5N,"Low-Noise, 900kHz, RRIO Precision OPERATIONAL AMPLIFIER Zerø-Drift Series",,,,,SOT-23-5
1,,PINHD-2X3,PDI,2X03,PIN HEADER,,,,,
1,100R,R-EU_R0603,R20,R0603,"RESISTOR, European symbol",,,,,
1,100k,R-EU_R0603,R9,R0603,"RESISTOR, European symbol",,,,,
1,100nH,R-EU_R0603,L3,R0603,"RESISTOR, European symbol",,,,,
3,10R,R-EU_R0603,"R11, R31, R41",R0603,"RESISTOR, European symbol",,,,,
3,10k,R-EU_R0603,"R7, R42, R43",R0603,"RESISTOR, European symbol",,,,,
3,120k,R-EU_R0603,"R2, R3, R4",R0603,"RESISTOR, European symbol",,,,,
1,12k,R-EU_R0603,R10,R0603,"RESISTOR, European symbol",,,,,
1,1M,R-EU_R0603,R1,R0603,"RESISTOR, European symbol",,,,,
1,22k,R-EU_R0603,R5,R0603,"RESISTOR, European symbol",,,,,
4,470R,R-EU_R0603,"R6, R12, R18, R19",R0603,"RESISTOR, European symbol",,,,,
1,47k,R-EU_R0603,R40,R0603,"RESISTOR, European symbol",,,,,
5,4k7,R-EU_R0603,"R13, R14, R15, R16, R17",R0603,"RESISTOR, European symbol",,,,,
2,200mA,R-EU_R0805,"PTC1, PTC2",R0805,"RESISTOR, European symbol",,,,,
2,1.25A,R-EU_R1206,"F1, F2",R1206,"RESISTOR, European symbol",,,,,
1,600R @100M,R-US_R0805,FB1,R0805,"RESISTOR, American symbol",,,,,
1,15u,RCL_L_CDRH8D38,L1,RCL_L_CDRH8D38,http://products.sumida.com/products/pdf/CDRH8D38.pdf,,,,,
1,SI2366DS-T1-GE3,SI2366DS-T1-GE3,U5,SOT95P237X112-3N,N-Channel 30 V (D-S) MOSFET,,,,,SOT-23-3
1,SM712,SM712,TVS1,SOT23,,,,,,
1,AZ431AN-ATRE1,TL431BQDBZR,U10,SOT95P237X112-3N,PRECISION PROGRAMMABLE REFERENCE,,,,,SOT23-3
1,USB+SHIELD,USB+SHIELD,USBUP,USB-B-PTH,USB+Shield,,,,,
